"Title","Company","Location","Description"
"Software Engineering Intern","Cvent","Austin, TX 78727","Cvent is an exciting, fast-growing tech company of almost 4000 employees that provides industry-leading software to event professionals around the world. Our suite of services – online event registration, venue selection, mobile apps, email marketing, web surveys, and targeted hotel advertising opportunities – have positioned us a major player in the estimated $565 billion global meetings and events industry.What You Will Be DoingAt Cvent, our paid technology summer internships are designed to provide students with real-world mentorship and experience. Interns are exposed to the inner workings of an industry-leading software company and are expected to take ownership of projects to contribute to the company’s continued success. Projects are assigned based on current production schedules and operation’s needs, allowing for extensive exposure to the components and cycles of the technology department. Cvent’s internships are ideally structured to not only support professional development, but also open the doors to full time employment with the company upon graduation.Work on large scale, cloud-based applications, where performance, reliability, and scalability are critical design goalsGain experience with different database technologies, ranging from traditional relational to the latest NoSQL products.Work in a collaborative, team-based environment in an Agile environmentIdentify and resolve issues related to customer experienceAnalyze the functionality of our web-based software platforms, mobile devices, and backend systemsWhat You Need for this PositionThe ideal candidate has:Rising SeniorPursuing bachelor’s degree in computer science or other technology related fieldGPA of 3.0 or higherThe desire to make contributions to the company that will be used by current and future full-time employeesExcellent problem solving and analytical skillsOutstanding oral and written communicationThe ability and willingness to work alongside senior team members and managers to further your professional developmentMost importantly, a successful candidate will be passionate about technology. Keeping up with the latest advancements in the industry; spending time creating, building, and exploring with technical projects; an inquisitive attitude in regard to the workings of hardware and software; and overall, simply having fun and finding enjoyment in the field."
"Software Product Developer (Entry Level-Enterprise Software)",,,"Join ABB and work in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.ABB is seeking an Entry Level Software Developer for its Atlanta, Georgia location. You will be responsible for contributing with own ideas to identify, propose and implement innovative technology development and solutions. You will solve industrial problems independently. Your focus will be on software product development.Your responsibilitiesTechnical, Scientific proficiency and leadership - Demonstrates solid technical proficiency in own competence area by performing a variety of technology/engineering assignments, mainly in research and development (R&D) projects, which demonstrates independent ability to recognize problems and provide input to solutions. Actively follows the scientific discussions in own competence area and contributes independently.Technology Direction - Understands the key business drivers for ABB in order to make judgments and contribute to results.Innovation & creativity - Contributes to R&D projects with own, creative ideas. Proposes follow-up projects and activities within own technical area based on new ideas.Projects, processes and tools - As a solid R&D project member and contributor, with experience as project or sub-project leader, ensures alignment with assigned targets (time, cost, quality) and coordinates activities. Demonstrates sound understanding of, and actively applies, R&D processes and tools.R&D context - Maintains awareness of state-of-art technology, as well as ABB products and technologies, and identifies and understands technical drivers for R&D projects in own area.Understands what creates customer value in own R&D projects and project portfolio of own organization and works to improve operations and increase customer satisfaction according to incoming requests. Provides consultingservices to business operations and customers.Knowledge transfer - Participates constructively in working teams. Shares own technical/scientific knowledge in own projects and supports colleagues in applying processes and tools to ensure timely and high quality results. Shows solid documentation skills and writes technical reports independently.Your backgroundMinimum of Bachelors Degree in Engineering or Computer Science field with experience in java and/or nodejs-OR-Minimum of Bachelors Degree in Engineering or Computer Science field and a minimum of 5+ years of experience.Preferred QualificationsGood knowledge in as C#, node, react, micro services.Should be willing to learn new things and work within a team setting.Willing to work flexible hours.Familiar with Agile methodologies.More about us#LI-USABring your very own sense of pride and purpose as you help us drive forward the Fourth Industrial Revolution – creating a sustainable future for our planet, and your career. Join ABB and harness the power of our diverse global network, as you collaborate with and learn from our world-class teams. Above all, challenge yourself every day. Let’s write the future, together.Equal Employment Opportunity and Affirmative Action at ABBABB is an Equal Employment Opportunity (EEO) and Affirmative Action Employer encouraging diversity in the workplace.All qualified applicants will receive consideration for employment without regard to their race, creed, color, ancestry, religion, sex, national origin, citizen status, age, sexual orientation, gender identity, disability, marital status, family medical leave status, or protected veterans status. For more information regarding your (EEO) rights as an applicant, please visit the following websites:http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdfhttp://www1.eeoc.gov/employers/poster.cfm. http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdfAs an Equal Employment Opportunity and Affirmative Action Employer, applicants may request to review the Affirmative Action Plan of a particular ABB facility between the hours of 9:00 A.M. - 5:00 P.M. EST Monday through Friday by contacting an ABB HR Representative at 1-888-694-7762.Protected veterans and qualified individuals with a disability may request a reasonable accommodation if you are unable or limited in your ability to use or access ABB's career site as a result of your disability. You may request reasonable accommodations by calling an ABB HR Representative at 1-888-694-7762 or by sending an email to US-AskHR@abb.com. Resumes and applications will not be accepted in this manner."
"Software Engineer",,,"Job Description:We are trusted advisers enabling Ford to see our business, know our customers and act in a meaningful way. We drive evidence-based decision making by providing timely, actionable and forward-looking insights to our One Ford business partners.Responsibilities:Interfacing with GDIA business and IT teams to understand new and advanced analytics tools and infrastructure needsWork closely with Business Partners to understand their product vision, and break it down into an actionable backlogWork closely with Business Partners to consult on Tools and Infrastructure request process and presentationPlan and distribute Tool and Infrastructure Agendas and Meeting minutesWork closely with Product Manager to enter, plan, update, and execute features, user stories, and iterationsGather functional and non-functional requirements for PoCAlign business, IT, vendor, security and controls, and other interfacing teams on deliverables, timelines, risks and issue recognition and mitigation for PoCWork hands-on with the product team to prioritize, plan, and deliver software tools and infrastructure that meets user requirements.Assist Product Manager in focusing on delivering product value through careful and deliberate prioritizing, planning, and executing product work for releases and iterationsAdvocate our iterative development approachBasic Qualifications:BA Degree15+ years of experienceWorking with vendors/clients on SOW’s, T&C’s, and other contractual termsIn developing customer requirementsIn leading customer meetings to identify engagement objectives, define success metrics, and set expectations for project delivery timelineIn testing and evaluationJoin our team as we create tomorrow! We believe in putting people first, working together, and facing challenges head-on, because we’re Built Ford Tough. We’re one team striving to make people’s lives better while creating value, delivering excellence, and ultimately going for the win.Candidates for positions with Ford Motor Company must be legally authorized to work in the United States on a permanent basis. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position.Ford Motor Company is an equal opportunity employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status, or protected veteran status."
"Software Engineer - New College Grad",,,"It's fun to work in a company where people truly BELIEVE in what they're doing!We're committed to bringing passion and customer focus to the business.The RoleProofpoint is looking for excellent software engineers to join the Security Products Group. We analyze data on a massive scale in solutions that detect and stop cyber attacks against our customers. We are a fast-paced, high-energy group that is constantly seeking innovative ways to prevent the latest cyber threats quickly and automatically. This is an environment where you will be given the opportunity to make a real impact. The team has a highly collaborative culture that enjoys learning and solving big problems. We are looking for individuals that are as passionate as we are about building great software. Engineers on the team work up and down the software stack to tackle challenging issues of scale, reliability, security and usability for our customers.Your day-to-dayTake end-to-end ownership of design and implementation of product features that will ship to customersWrite efficient and maintainable codeBe a great teammate and enjoy our fun-loving positive cultureWhat you bring to the teamStrong coding & debugging skills in an object-oriented language (Java, Python, C++, Ruby, C#, Obj-C)Great communication skills and a love to learn new thingsSome experience with web application development a plus (bonus for both frontend & backend)If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!"
"Junior Software Engineer - Database and Back End Processing",,,"The OpportunityStock Rover is our state of the art investment research platform. This new web application brings institutional quality fundamental and technical research to individual and professional investors. Come join our highly talented and motivated team to create something that is truly special.ResponsibilitiesIn this position you will be a key member of the team that builds and maintains the back end for Stock Rover’s financial processing engine. This includes data acquisition from our data providers, computation on acquired data, the architecture to distribute cooked data to the horizontally scaled data bases and the web services to respond to client requests. This is a very visible product development position.Experience and SkillsJava and/or Ruby development experienceObject-Oriented familiarityComfort with SQL and database technologyComfort with source control and a major IDE (Eclipse/NetBeans/RubyMine)Strong attention to detailDesire to work with financial dataExcellent communication skills (written & oral)BS or MS in CS or equivalentThe EnvironmentStock Rover is a well-funded startup. Our central development office is in Boston Massachusetts. We provide a superb working environment with a great facility loaded with state of the art equipment and tools. The culture is open, collaborative, friendly and supportive. The people are extremely smart and very motivated. The best ideas get implemented.The BenefitsStock Rover provides an excellent compensation and benefits package including a company funded 401(K) and the potential for equity.How to ApplySend resume and salary requirements referencing Job Code: JSE-DB (Junior Software Engineer – Database and Back End Processing) to Stock Rover.Via Email: careers@stockrover.comVia US Mail: Stock Rover LLC, 165 Bay State Drive, Braintree MA 02184.Stock Rover is an equal opportunity/affirmative action employer."
"Software Engineer – New College Grad",,,"It's fun to work in a company where people truly BELIEVE in what they're doing!We're committed to bringing passion and customer focus to the business.The RoleProofpoint is looking for awesome software engineers to join the Threat Research & Engineering group. We analyze data on a massive scale in solutions that detect and stop cyber-attacks against our customers. This is an environment where you will be given the opportunity to make a real impact.The sandboxing service employs cutting-edge technology to detect, analyze and produce forensics for the latest threats from the most sophisticated threat actors. It is a core component of Proofpoint’s security platform and is leveraged across our product portfolio to protect our customers from threats coming in through e-mail, social media and SaaS applications. We are looking for a passionate and talented Computer Science graduate with a “get stuff done” attitude.The team has a solid engineering culture that values the craftsmanship of writing great software, enjoys learning, and solving big problems. Engineers on the team work up and down the software stack to tackle challenging issues of scale, reliability, security and usability for our users.Your day-to-dayBe member of a high-performing team of engineers responsible for building critical malware analysis servicesTake end-to-end responsibility to develop resilient and scalable components/features and get them integrated into the serviceParticipate in code review and establishment of best practicesWrite custom code or integrate open source technologies as needed to find solutions to problemsHelp define processes and build tools as needed to scale the solution and the teamContribute innovative ideas for the service to stay ahead of threat actorsCollaborate with teammates and co-workers in partner teamsWhat you bring to the teamBS/MS in Computer Science or Software Engineering1 year of professional experience at a tech industry company or startup (2 or more coop terms)Professional coding experience in object-oriented and scripting languages (Java, Python, Go)Experience with relational and document-based databasesExposure to AWS, Cassandra, Kafka, Elastic Search a bonusA positive can-do attitude and bring a passion for excellence to the workplaceKnowledge of cybersecurity, malware analysis, threat detection and/or sandboxing technology a bonusIf you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!"
"Applications Database Developer I",,,"OverviewGENERAL SUMMARY OF POSITION:Under the direction of the Director or designee, the Applications/Database Developer I is responsible for the analysis of routine user needs, software and database design, programming and lifecycle development of business and clinical applications. The Applications/Database developer I will perform preliminary evaluation and research of 3rd party software and conduct feasibility studies to determine appropriate solutions. Communicate with the user through all phases of development and support. Perform duties in a manner consistent with a complex, diverse, dynamic hardware and software environment that serves a complex medical/education community.ResponsibilitiesMAJOR RESPONSIBILITIES:Perform preliminary design and modeling of front-end application and the RDMS back-end schema, including the assurance of appropriate technology controls (i.e. normalization, referential integrity, etc.).Articulate and document user application needs working directly with the user and/or vendors.Contribute to the development of functional specifications.Contribute with direction to the design, development, implementation, integration, production support, and continuous enhancement of applications to ensure reliable, integrated and stable information repositories.Provide end user training and support of developed applications.Develop and maintain under close supervision proper technical and user documentation for each system in a consistent and structured manner.Test and debug software for accuracy, completeness, and system integrity to ensure quality control.Develop comprehensive project plan and proactively act upon work assignments.Interact effectively (verbally, written, etc.) with users, vendors and management to ensure the delivery and use of application is consistent with agreed upon project goals.Continue development of skills and expertise in present and emerging technologies by participating in formal training when possible and by independent self-teaching and tutorials.Perform other duties as required.QualificationsREQUIRED QUALIFICATIONS:Bachelor's Degree in Computer Science or Information Systems Management, or equivalent experienceInterpersonal skills to work with people of all levels of information technology expertise and comfort in varied organizational relationships"
"Entry Level Software Developer (506147)",,,"Career opportunities are available for recent grads with BS in Computer Engineering, Computer Science, Systems Engineering or related technical field. Candidate will work on a fast-paced integrated product development team.Duties and ResponsibilitiesBe a member of a development team responsible for designing, developing, refactoring, testing and maintaining new features and improve existing code baseDevelop web based and mobile software applications in support of Progeny’s innovative, high quality engineering solutions in an agile environment.Participate in all phases of the existing Agile Software Development Life Cycle (SDLC) including requirements analysis, design, implementation, and testing.Knowledge, Skills and Abilities Familiarity with software engineering disciplines from requirements development to validation. Strong skills in use of JAVA and JAVA EE development tools. Strong organizational and analytical skills as well as practical problem-solving and decision skills. Experience with relational databases is desired. Experience in the design and development of software applications using multiple technologies including, but not limited to Java .NET, SQL, Web Services, JavaScript and XML languages. Experience with Agile development process is desired.Education/Experience B.S. degree in Computer Engineering, Computer Science, Systems Engineering or a related technical field (or an equivalent combination of education and experience.) 0-3 years’ experienceThis position requires the applicant to hold an ACTIVE DoD Clearance.ACCOMMODATION REQUESTIf you need special assistance or an accommodation while seeking employment, please contact our recruiting department at hr@progeny.net or call 703.368.6107. We will make a determination on your request for reasonable accommodation on a case-by-case basis.Benefits:To learn more about the Benefits offered by Progeny Systems, including a minimum $1,000 sign-on bonus for all new hires, please visit our website at http://www.progeny.net/careers.About Progeny SystemsProgeny Systems is a privately held, high-tech small business that provides premium systems, services, and products for the Department of Defense, government agencies and commercial clients. We are a technology leader in numerous areas including: technology insertion; acoustic sensors; signal processing; combat systems; torpedoes; cyber security; biometrics; knowledge management; undersea vehicles; open architecture; electromagnetic maneuver warfare; electronics packaging; and image/video processing/analysis.As a small business, Progeny Systems is a participant in the Small Business Innovative Research (SBIR) and Small Business Technology Transfer (STTR) programs. Progeny Systems has a proven track record of transitioning numerous SBIR contract awards into full-scale production, and has also successfully competed with large defense corporations. Progeny System's ability to leverage flexibility, rapid turnaround, customer responsiveness, and encourage an environment for experimental research has been critical to our success in developing, producing and supporting numerous mission critical national defense systems.Progeny has provided highly complex products/programs to the United States Government in collaboration with the following agencies, among others:United States NavyUnited States Air ForceUnited States ArmyDefense Advanced Research Projects Agency (DARPA)National Aeronautics & Space Administration (NASA)"
"Software Applications Developer (Simulations & Virtual Environments)",,,"This position in the IT@UC Center for Simulations & Virtual Environments Research (UCSIM) is responsible for developing software applications for virtual and augmented reality, simulations, 3D modeling, and 3D animations to enhance and facilitate the research and academic objectives of the university. The primary responsibilities for this position include designing and writing succinct, timely programming code that is logical, optimizes programming resources, and meets user requirements for virtual and augmented reality and simulation systems using the Unity3D game engine; designing, testing and refining interaction and UI elements; performing QA to test, debug, document, and deliver top quality work; evaluate and enhance the efficiency of existing programs in meeting current and future user needs; providing robust software documentation; and working with a team of artists and developers to create the best virtual experience possible within time and budget constraints. This position may supervise the work of students and junior programmers.The ideal candidate will have previous experience developing VR/AR applications with the Unity3D game engine; a thorough understanding of software development methodologies, values, and procedures; previous experience mentoring, training, and teaching others about game engines, VR/AR development, programming, and/or software development methodologies; and be an entrepreneurial and innovative thinker who is passionate about emerging VR/AR and immersive technologies. Occasional local/regional travel to meet with clients, and evening/weekend hours to host special university events, demonstrations, and conferences, may be required.MINIMUM QUALIFICATIONSBachelor’s degree in Computer Science, Information Technology, Computer Engineering, or related degree; -OR- an Associate’s degree with two (2) years’ of experience; or four (4) years of basic to intermediate level computer hardware related experience.Possesses working knowledge of commonly-used concepts, practices, and procedures and contributes through support, using established processes, methods, and systems.IDEAL QUALIFICATIONSDemonstrated ability to work effectively with a development team to create simulations, games, or virtual or augmented reality applications in a higher education or research environment.Experience creating virtual and augmented reality applications using the Unity game engine, other game engines, or other simulation platform programming experience in JavaScript, C#, .NET, C++ or related languages. Knowledge or previous experience developing game engine tools, physics, and shaders a plus.Experience developing and optimizing applications for virtual or augmented reality hardware systems (Oculus Rift/Quest/Go, HTC Vive/Focus, Google Daydream/Cardboard, Microsoft Hololens, Magic Leap, Google Glass).Experience developing gesture-based controls or integrating motion capture technologies.Previous experience mentoring, training, and teaching others about game engines, VR/AR development, programming, and/or software development methodologies, as well as the ability to coach, mentor and train students and junior programmers.Basic knowledge of Adobe Creative Suite programs (Photoshop, Illustrator, etc), and/or previous experience collaborating with 3D artists to optimize the 3D content pipeline. (Maya/Max/Photoshop into game engine).Entrepreneurial and innovative thinker, with strong analytical and planning skills, and the ability to work effectively in a fast-paced, deadline-driven, and collaborative team environment.The University of Cincinnati, as a multi-national and culturally diverse university, is committed to providing an inclusive, equitable and diverse place of learning and employment. As part of a complete job application you will be asked to include a Contribution to Diversity and Inclusion statement.As a UC employee, and an employee of an Ohio public institution, if hired you will not contribute to the federal Social Security system, other than contributions to Medicare. Instead, UC employees have the option to contribute to a state retirement plan (OPERS, STRS) or an alternative retirement plan (ARP).The University of Cincinnati is an Affirmative Action / Equal Opportunity Employer / Minority / Female / Disability / Veteran.REQ: 40713SF:OMJ SF:RM SF:INS SF:INS"
"Software Engineer, University Grad","Facebook","New York, NY 10017","Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started.Want to build new features and improve existing products that more than a billion people around the world use? Are you interested in working on highly impactful technical challenges to help the world be more open and connected? Want to solve unique, large-scale, highly complex technical problems? Our development cycle is extremely fast, and we've built tools to keep it that way. It's common to write code and have it running live on the site just hours later. We push code to the site continuously and have small teams that build products that are touched by millions of people around the world. If you work for us, you will be able to make an impact immediately. Facebook is seeking Software Engineers to join our engineering team. You can help build the next-generation of systems behind Facebook's products, create web applications that reach millions of people, build high volume servers and be a part of a team that’s working to help people connect with each other around the globe. This position is full-time and there are minimal travel requirements.RESPONSIBILITIESCode high-volume software using primarily C++ and JavaCreate web applications using primarily PHPImplement web interfaces using XHTML, CSS, and JavaScriptBuild report interfaces and data feedsMINIMUM QUALIFICATIONS1 or more years of experience with perl, java, php, python, or c++Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employmentPREFERRED QUALIFICATIONSDemonstrated software engineering experience from previous internship, work experience, coding competitions, or publicationsCurrently has, or is in the process of obtaining, a Bachelors or Masters degree in Computer Science or a related fieldFacebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com."
"Software Engineer","Fetch Rewards","Chicago, IL 60654","At Fetch Rewards, we have two sayings that sum up the ethos of our organization launched in 2013:Defeat the Odds!What's next?Our vision is to leverage technology to transform shopping into an engaging, rewarding, and delightful experience, ultimately propelling the time-worn grocery shopping experience into the 21st century. Our technology platform, based around a free smartphone app, ensures that users have the best shopping experience possible. Headquartered in Madison, Wi with offices in Chicago, Denver and New York, we pride ourselves on two things -- the caliber of our work and the scope of our ambition.Fetch’s next step in evolving the grocery shopping experience will require a Software Engineer. Those that can help us defeat the odds. This role can be based in either Madison or Chicago.We are looking for a Software Engineer. You will build highly performant backend services to integrate seamlessly with our data stores, message queues, mobile and web platforms, and other systems. Success in this role requires the ability to take on challenging problems and design & develop an amazing solution with little to no assistance.In your tool-bagA deep understanding of functional and object-oriented programmingAbility to plan and implement complex data modelsAbility to optimize poorly performing code, data queries, and network requestsUnderstanding of the complexity and failure domains of micro-services and distributed architecturesAbility to troubleshoot large scale production systems and explain both short and long-term solutions with trade-offsEffective communication, including the ability to translate and explain technical issues to non-technical team membersYou have experience withHigh-level languages (Java, Scala, Go)Relational and eventually consistent databases (MongoDB, Postgres, MySQL)In-memory data stores and caches (Redis, Memcache)Version control system (Git)Test writing and quality assuranceService-oriented architectureBonus PointsFull-stack development (Kotlin, Javascript, React, Swift)Messages queue and event streaming (Kafka, Kinesis, Redis Streams)Continuous developmentUndergraduate or graduate degree in computer science, engineering or mathematicsLove of Dogs! . . . Or just tolerance. We're a very canine-friendly workplace.Job Type: Full-timeSalary: $90,000.00 to $200,000.00 /yearExperience:software development: 3 years (Preferred)Education:Bachelor's (Preferred)Work authorization:United States (Required)Additional Compensation:BonusesWork Location:One locationMultiple locationsBenefits:Health insuranceDental insuranceVision insurancePaid time offFlexible scheduleParental leaveRelocation assistanceVisa Sponsorship Potentially Available:No: Not providing sponsorship for this job"
"Backend Software Engineer I",,,"Backend Software Engineer I - (19082520)About H-E-BH-E-B is one of the largest, independently owned food retailers in the nation operating over 400 stores throughout Texas and Mexico, with annual sales generating over $25 billion. Described by industry experts as a daring innovator and smart competitor, H-E-B has led the way with creative new concepts, outstanding service and a commitment to diversity in our workforce, workplace and marketplace. H-E-B offers a wealth of career opportunities to our 109,000+ Partners (employees), competitive compensation and benefits program and comprehensive training that lead to successful careers.Since H-E-B Digital Technology's inception, we've been investing heavily in our customers' digital experience, reinventing how they find inspiration from food, how they make food decisions, and how they ultimately get food into their homes. This is an exciting time to join H-E-B Digital-we're using the best available technologies to deliver modern, engaging, reliable, and scalable experiences to meet the needs of our growing audience. If you enjoy taking on new challenges, working in a rapidly changing environment, learning new skills, and applying it all to solve large and impactful business problems, we want you as part of our team.Our Partners thrive The H-E-B Way. In the Software Engineer I job, that means you have a...HEART FOR PEOPLE... you're willing to communicate with and learn from your manager and your teamHEAD FOR BUSINESS... you can follow technical guidance and understand why it's importantPASSION FOR RESULTS... you'll take the initiative to get familiar with technology / the software development processWhat you'll do (Design & Development)- Learn about new technology, about the digital organization, and about the industry- Take technical direction to deliver well-scoped work- Code / configure, maintain, test, and debug existing or new systems- Deliver quality features and bug fixes that align with our development process- Assist in research and fact finding to develop or modify applications- Effectively communicate (verbal, listening, and written) with team and manager- Provide end-to-end support to applicationsSpecific to Android- Build world-class native mobile applications for millions of users using a variety of tools, such as Android Studio, Kotlin, JUnit, Android Arch Components, RxJava, Dagger, Lottie, Firebase, Charles, Postman, Zeplin, and moreSpecific to iOS- Build world-class native mobile applications for millions of users using a variety of tools, such as Xcode, Swift, RxSwift, XCUITest, Lottie, Firebase, Charles, Postman, Zeplin, and moreWho You Are- You have an ownership mentality and can operate independently- You have strong knowledge of computer science fundamentals: data structures and algorithms- You have a fundamental understanding of system development life cycles- You can code by example and take instruction well- You have a bachelor of science degree in computer science, or 1+ years of similar education or experienceSpecific to Software Engineer- You have working knowledge in technologies such as React, Node, PHP, MySQL, Swift, Java, and PythonWho We Are- H-E-B is one of the largest, independently owned food retailers in the nation, operating over 400 stores throughout Texas and Mexico, with annual sales generating over $26 billion- We hire talented people (116,000+ Partners), and give them autonomy to be creative in how they impact the business- We're a Partner-driven company with a Bold Promise - Because People Matter- We embrace Diversity and Inclusion as core values, and support them with thriving company-wide programs- We're a truly original Texas-based company that created the Spirit of Giving to help Texas communities every day- Once eligible, our Partners become Owners in the company. 'Partner-owned' means our most important resources-People-drive the innovation, growth, and success that make H-E-B The Greatest Retailing Company10-2019Primary Location US-TX-San AntonioWork Locations Headquarters-Arsenal 646 S. Flores San Antonio 78204Job DeveloperOrganization Corporate RegionShift StandardJob Type Full-timeJob Posting Nov 26, 2019, 5:08:10 PM Unposting Date Dec 11, 2019, 5:59:00 AM"
"Software Development & Engineering","Comcast","Philadelphia, PA 19103","Comcast’s Technology & Product organization works at the intersection of media and technology. Our innovative teams are continually developing and delivering products that transform the customer experience. From creating apps like TVGo to new features such as the Talking Guide on the X1 platform, we work every day to make a positive impact through innovation in the pursuit of building amazing products that are enjoyable, easy to use and accessible across all platforms. The team also develops and supports our evolving network architecture, including next-generation consumer systems and technologies, infrastructure and engineering, network integration and management tools, and technical standards.Job Summary:Join the team building the future of Digital Home for the largest Internet provider in the country. We aim to deliver a powerful, yet simple connected experience to our customers with unrivaled speed and coverage to the rapidly growing number of devices within the home; personalizing the connected experience for individual family members; and powerful smart home solutions that would make our customers’ lives simple, easy and awesome.In this position, you have the opportunity to positively impact millions of customers by driving the development of a robust platform in support of Digital Home service and activation of all devices in the home.Responsibilities:Work on developing new back end/middleware cloud-native applications with emphasis on scalability, performance, and resiliency while also supporting and enhancing existing systems.Learn and utilize best practices in software development associated with design, documentation, coding, testing, deployment and monitoring in a DevOps environment.Take end to end ownership of your part of the work and collaborate with stakeholders, team members and other teams across organizations to develop solutions that put our products and customers first.Actively participate in code reviews with other developers and engineering managers.Monitor overall system health and troubleshoot applications running in production environments. Participate in 24x7 on-call support and incident triage as and when required.Work closely with and accept feedback from peers, senior engineers and managers to grow and improve your skills and abilities.Other duties and responsibilities as assigned.QualificationsRequired:Strong understanding of software development and object-oriented programming principles.Coursework or job experience of working with Java, Python or other programming languages.Comfortable working in Linux environments.Strong analytical and problem-solving skills.Passion for technology in general and eagerness to learn and explore new languages/ideas as demonstrated by personal project work, open-source contributions, personal websites or participation in tech communities.Good verbal and written communication skills and regular, consistent and punctual attendance.Preferred:Experience with source control systems (GitHub, SVN, etc.), continuous integration and deployment tools (Jenkins, Concourse CI).Knowledge of network communication principles.Experience working in AWS or other cloud providers.Experience working effectively in a corporate setting.Job SpecificationBachelor’s degree or equivalent in Computer Science, Computer Engineering or related technical field or equivalent practical experience.0-2 years of experience developing software applications.Comcast is an EOE/Veterans/Disabled/LGBT employer"
"Software Developer Engineer, OCI- Seattle, WA","Oracle","Time, IL","Software Developer Engineer, OCI- Seattle, WA-19001H8XPreferred QualificationsSenior Engineer – Cloud Infrastructure Platform TeamCloud Infrastructure Group (Seattle, WA)The Oracle Cloud Infrastructure (OCI) team can provide you the opportunity to build and operate a suite of massive scale, integrated cloud services in a broadly distributed, multi-tenant cloud environment. OCI is committed to providing the best in cloud products that meet the needs of our customers who are tackling some of the world’s biggest challenges.We offer unique opportunities for hands-on engineers with the expertise and passion to solve difficult problems in distributed highly available services and virtualized infrastructure. At every level, our engineers have a significant technical and business impact designing and building innovative new systems to power our customer’s business critical applications.Oracle’s Cloud Infrastructure team is building new Infrastructure-as-a-Service (IaaS) technologies that operate at high scale in a broadly distributed multi-tenant cloud environment. Our customers run their businesses on our cloud, and our mission is to provide them with best in class compute, storage, networking, database, and security. These are exciting times in our space - we are growing fast, still at an early stage, and working on ambitious new initiatives.Requirements:Do you want to build great things in a vibrant, smart, high energy team? Are you an experienced developer looking for a role to have a bigger technical impact? We are looking for a Principal Engineer with cloud experience to join our development team. The ideal candidate will be technically strong and must have an understanding of large-scale distributed systems (cloud-based environments). In addition, they will have a good experience of taking a new major feature from start to release. This role will drive the technical aspects of our product definition, contribute to the product strategy of our solutions, and contribute to the development of next generation Platform system features for Oracle’s IaaS cloud environment.As a Senior Engineer you will be responsible for ensuring that our cloud infrastructure solutions are designed and built with the highest level of scalability in mind. You will partner with other development teams responsible for architecting, designing, and implementing solutions within a distributed computing environment. You will conduct threat modeling of systems under development, ensure systems are built to align with security, identity, metrics, search, and others in the design, development, and deployment of distributed systems.Qualifications3+ years distributed cloud engineering experience in a software development environmentStrong experience and detailed technical knowledge in PaaS engineering.Experience developing service-oriented architectures and web services security solutionsDevelopment experience in Java/C++/C# as well as scripting languagesExperience working with other cloud platform teams and accommodating requirements from those teams (compute, networking, search, store).Written and verbal communication skills with the ability to present complex information in a clear, concise manner to all audiencesComfortably in a collaborative, agile development environment.Preferred QualificationsDeep understanding of object-oriented design and SDK development, specifically within a cloud environmentFamiliarity and understanding of distributed computing and cloud-based platforms.Understanding of cross-functional platform feature areas in cloud platforms.Detailed Description and Job RequirementsDesign, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.As a member of the software engineering division, you will assist in defining and developing software for tasks associated with the developing, debugging or designing of software applications or operating systems. Provide technical leadership to other software developers. Specify, design and implement modest changes to existing software architecture to meet changing needs.Duties and tasks are varied and complex needing independent judgment. Fully competent in own area of expertise. May have project lead role and or supervise lower level personnel. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law."
